epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
119,2239.21,0.01063,0.97159,0.99811,0.19248,0.00014754,0.00014754,0.00014754
120,2255.54,0.01259,0.9697,0.99811,0.13693,0.000143138,0.000143138,0.000143138
121,2271.15,0.01452,0.9697,0.99811,0.12437,0.000138736,0.000138736,0.000138736
122,2287.56,0.01107,0.9697,1,0.15497,0.000134334,0.000134334,0.000134334
123,2302.89,0.01489,0.9678,0.99811,0.13941,0.000129932,0.000129932,0.000129932
124,2320.09,0.01177,0.96591,1,0.16943,0.000125529,0.000125529,0.000125529
125,2337.42,0.01183,0.9678,1,0.22028,0.000121127,0.000121127,0.000121127
126,2355.04,0.01627,0.96591,0.99621,0.18515,0.000116725,0.000116725,0.000116725
127,2372.05,0.0148,0.96402,0.99621,0.13529,0.000112323,0.000112323,0.000112323
128,2386.93,0.01045,0.96591,0.99811,0.1286,0.000107921,0.000107921,0.000107921
129,2402.73,0.01169,0.96591,0.99811,0.13173,0.000103518,0.000103518,0.000103518
130,2418.9,0.01217,0.97727,1,0.12335,9.91162e-05,9.91162e-05,9.91162e-05
131,2435.31,0.00947,0.97917,1,0.10524,9.4714e-05,9.4714e-05,9.4714e-05
132,2452.96,0.01547,0.97727,1,0.10847,9.03118e-05,9.03118e-05,9.03118e-05
133,2468.44,0.01296,0.97538,0.99621,0.11097,8.59096e-05,8.59096e-05,8.59096e-05
134,2484.7,0.01203,0.9697,0.99621,0.11005,8.15074e-05,8.15074e-05,8.15074e-05
135,2508.76,0.01142,0.97159,1,0.10496,7.71052e-05,7.71052e-05,7.71052e-05
136,2524.07,0.00807,0.97727,1,0.12832,7.2703e-05,7.2703e-05,7.2703e-05
137,2539.83,0.01604,0.97348,1,0.10341,6.83008e-05,6.83008e-05,6.83008e-05
138,2561.23,0.01321,0.9697,0.99811,0.12659,6.38986e-05,6.38986e-05,6.38986e-05
139,2576.93,0.01043,0.96591,1,0.1176,5.94964e-05,5.94964e-05,5.94964e-05
140,2592.23,0.01045,0.97159,1,0.11985,5.50942e-05,5.50942e-05,5.50942e-05
141,2616.3,0.01141,0.97538,1,0.11314,5.0692e-05,5.0692e-05,5.0692e-05
142,2631.87,0.01043,0.97538,1,0.11005,4.62898e-05,4.62898e-05,4.62898e-05
143,2648.52,0.01146,0.97538,1,0.10594,4.18876e-05,4.18876e-05,4.18876e-05
144,2666.45,0.00731,0.97538,1,0.09987,3.74854e-05,3.74854e-05,3.74854e-05
145,2683.75,0.00572,0.97538,0.99811,0.1123,3.30832e-05,3.30832e-05,3.30832e-05
146,2700.73,0.00637,0.97348,1,0.11691,2.8681e-05,2.8681e-05,2.8681e-05
147,2723,0.00877,0.97348,0.99811,0.10876,2.42788e-05,2.42788e-05,2.42788e-05
148,2743.71,0.01022,0.97348,0.99811,0.10895,1.98766e-05,1.98766e-05,1.98766e-05
149,2764.21,0.00709,0.97348,0.99811,0.10619,1.54744e-05,1.54744e-05,1.54744e-05
150,2786.18,0.0087,0.97348,1,0.10685,1.10722e-05,1.10722e-05,1.10722e-05
